date,geo,mode,value
2013-09-30,ES,road,98.6
2013-12-31,ES,road,96.9
2014-03-31,ES,road,95.9
2014-06-30,ES,road,97.8
2014-09-30,ES,road,99.0
2014-12-31,ES,road,99.4
2015-03-31,ES,road,97.1
2015-06-30,ES,road,96.8
2015-09-30,ES,road,98.0
2015-12-31,ES,road,97.5
2016-03-31,ES,road,94.5
2016-06-30,ES,road,95.6
2016-09-30,ES,road,97.2
2016-12-31,ES,road,97.4
2017-03-31,ES,road,94.5
2017-06-30,ES,road,95.3
2017-09-30,ES,road,96.6
2017-12-31,ES,road,98.8
2018-03-31,ES,road,95.9
2018-06-30,ES,road,97.1
2018-09-30,ES,road,100.2
2018-12-31,ES,road,98.4
2019-03-31,ES,road,97.6
2019-06-30,ES,road,99.1
2019-09-30,ES,road,100.9
2019-12-31,ES,road,100.5
2020-03-31,ES,road,98.6
2020-06-30,ES,road,100.6
2020-09-30,ES,road,101.8
2020-12-31,ES,road,99.3
2021-03-31,ES,road,98.3
2021-06-30,ES,road,99.1
2021-09-30,ES,road,100.7
2021-12-31,ES,road,101.8
2022-03-31,ES,road,104.1
2022-06-30,ES,road,112.9
2022-09-30,ES,road,118.3
2022-12-31,ES,road,118.3
2023-03-31,ES,road,114.2
2023-06-30,ES,road,117.0
2023-09-30,ES,road,118.7
2023-12-31,ES,road,120.4
2006-03-31,FR,road,83.5
2006-06-30,FR,road,84.0
2006-09-30,FR,road,84.7
2006-12-31,FR,road,84.9
2007-03-31,FR,road,86.4
2007-06-30,FR,road,87.1
2007-09-30,FR,road,87.7
2007-12-31,FR,road,88.5
2008-03-31,FR,road,90.8
2008-06-30,FR,road,92.5
2008-09-30,FR,road,93.3
2008-12-31,FR,road,92.1
2009-03-31,FR,road,90.9
2009-06-30,FR,road,90.6
2009-09-30,FR,road,90.5
2009-12-31,FR,road,90.0
2010-03-31,FR,road,90.1
2010-06-30,FR,road,90.2
2010-09-30,FR,road,90.8
2010-12-31,FR,road,90.6
2011-03-31,FR,road,92.6
2011-06-30,FR,road,93.0
2011-09-30,FR,road,93.3
2011-12-31,FR,road,93.4
2012-03-31,FR,road,94.7
2012-06-30,FR,road,94.7
2012-09-30,FR,road,95.0
2012-12-31,FR,road,94.7
2013-03-31,FR,road,95.3
2013-06-30,FR,road,95.5
2013-09-30,FR,road,95.8
2013-12-31,FR,road,95.4
2014-03-31,FR,road,95.7
2014-06-30,FR,road,95.9
2014-09-30,FR,road,96.3
2014-12-31,FR,road,95.2
2015-03-31,FR,road,94.0
2015-06-30,FR,road,95.1
2015-09-30,FR,road,94.8
2015-12-31,FR,road,94.2
2016-03-31,FR,road,93.6
2016-06-30,FR,road,94.2
2016-09-30,FR,road,94.5
2016-12-31,FR,road,94.8
2017-03-31,FR,road,95.0
2017-06-30,FR,road,95.2
2017-09-30,FR,road,95.1
2017-12-31,FR,road,95.7
2018-03-31,FR,road,96.2
2018-06-30,FR,road,97.2
2018-09-30,FR,road,97.7
2018-12-31,FR,road,97.9
2019-03-31,FR,road,98.5
2019-06-30,FR,road,99.0
2019-09-30,FR,road,99.2
2019-12-31,FR,road,99.0
2020-03-31,FR,road,99.2
2020-06-30,FR,road,97.5
2020-09-30,FR,road,98.2
2020-12-31,FR,road,98.1
2021-03-31,FR,road,99.0
